index,Lo,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,time
68,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:32:39.400000000
69,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:33:08.200000000
70,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:33:37.000000000
71,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:34:05.800000000
72,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:34:34.600000000
73,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:35:03.400000000
74,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:35:32.200000000
75,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:36:01.000000000
76,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:36:29.800000000
77,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:36:58.600000000
78,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:37:27.400000000
79,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:37:56.200000000
80,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:38:25.000000000
81,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:38:53.800000000
82,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:39:22.600000000
83,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:39:51.400000000
84,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:40:20.200000000
85,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:40:49.000000000
86,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:41:17.800000000
87,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:41:46.600000000
88,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:42:15.400000000
89,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:42:44.200000000
90,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:43:13.000000000
91,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:43:41.800000000
92,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:44:10.600000000
93,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:44:39.400000000
94,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:45:08.200000000
95,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:45:37.000000000
96,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:46:05.800000000
97,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:46:34.600000000
98,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:47:03.400000000
99,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:47:32.200000000
100,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:48:01.000000000
101,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:48:29.800000000
102,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:48:58.600000000
103,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:49:27.400000000
104,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:49:56.200000000
105,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:50:25.000000000
106,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:50:53.800000000
107,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:51:22.600000000
108,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:51:51.400000000
109,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:52:20.200000000
110,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:52:49.000000000
111,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:53:17.800000000
112,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:53:46.600000000
113,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:54:15.400000000
114,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:54:44.200000000
115,2.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0 days 00:55:13.000000000
