index,power,volt,cur
20,95889.1016957,547,175.3000031
21,96020.0966511,549,174.8999939
22,95800.5,549,174.5
23,95965.2017019,549,174.8000031
24,95259.998295,550,173.1999969
25,95590.001705,550,173.8000031
26,96359.998295,550,175.1999969
27,96084.998295,550,174.6999969
28,94984.998295,550,172.6999969
29,95315.001705,550,173.3000031
30,95315.001705,550,173.3000031
31,95700.0,550,174.0
32,95755.00335500001,550,174.1000061
33,96140.001705,550,174.8000031
34,95809.998295,550,174.1999969
35,95919.99664499999,550,174.3999939
36,98615.001705,550,179.3000031
37,96030.00335500001,550,174.6000061
38,95480.00335500001,550,173.6000061
39,95425.0,550,173.5
40,95919.99664499999,550,174.3999939
41,95919.99664499999,550,174.3999939
42,95040.001705,550,172.8000031
43,95480.00335500001,550,173.6000061
44,96149.5,551,174.5
45,95818.8966389,551,173.8999939
46,96149.5,551,174.5
47,95874.0,551,174.0
48,95818.8966389,551,173.8999939
49,95874.0,551,174.0
50,94992.3966389,551,172.3999939
51,95543.3966389,551,173.3999939
52,95488.3017081,551,173.3000031
53,95708.6982919,551,173.6999969
54,95984.1982919,551,174.1999969
55,95984.1982919,551,174.1999969
